v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,class,file
52,49,46,54,40,56,35,56,30,56,24,53,20,48,22,48,30,50,35,51,40,51,50,49,20,48,25,45,30,44,35,46,39,45,46,46,52,49,50,49,39,49,35,49,30,48,22,48,1,61
53,51,47,57,41,59,36,59,31,58,26,54,22,48,24,48,32,53,37,54,41,54,51,51,22,48,27,46,33,46,38,47,42,47,48,48,53,51,51,51,42,50,37,49,33,48,24,48,1,62
49,49,44,56,38,58,34,58,30,58,25,55,20,48,22,48,30,53,34,54,38,54,47,50,20,48,25,47,31,46,35,47,38,46,44,48,49,49,47,50,38,49,34,49,31,48,22,48,1,63
47,46,43,53,36,55,31,55,26,55,19,51,13,44,15,44,26,50,32,51,37,51,46,46,13,44,20,41,27,40,32,41,37,41,42,42,47,46,46,46,37,44,32,44,27,43,15,44,1,64
45,47,39,50,34,52,30,52,26,52,21,51,16,49,18,49,26,48,30,47,34,47,43,48,16,49,21,46,26,44,29,44,33,43,39,45,45,47,43,48,34,47,30,47,26,47,18,49,1,65
50,46,45,52,38,55,33,56,28,56,22,54,18,49,20,49,28,52,33,52,38,52,49,47,18,49,22,45,28,44,33,45,37,43,44,44,50,46,49,47,37,46,33,46,28,46,20,49,1,66
43,52,39,56,34,57,31,58,27,57,23,56,19,52,21,52,27,52,31,53,34,53,41,53,19,52,23,50,27,50,31,51,34,50,39,51,43,52,41,53,34,52,31,52,27,52,21,52,1,67
49,47,44,52,38,55,33,55,28,55,23,54,20,49,22,49,28,50,32,50,37,49,47,47,20,49,23,45,27,43,31,44,36,43,43,44,49,47,47,47,36,46,31,47,27,47,22,49,1,68
43,48,38,53,32,55,27,55,23,54,18,52,15,46,17,46,24,49,27,50,32,50,42,48,15,46,19,43,24,42,28,43,32,43,38,45,43,48,42,48,32,46,27,46,24,45,17,46,1,69
47,49,41,52,36,53,31,53,27,53,22,52,17,48,19,49,28,49,31,49,36,49,45,49,17,48,23,47,28,46,32,47,36,46,41,47,47,49,45,49,36,49,31,49,28,49,19,49,1,70
49,47,43,52,36,54,31,55,26,54,20,52,15,47,17,48,26,49,31,50,36,49,47,47,15,47,20,46,26,45,30,46,35,45,42,45,49,47,47,47,35,48,31,48,26,48,17,48,1,71
48,46,46,49,43,49,40,50,37,50,32,49,25,47,27,47,37,47,40,46,43,46,46,46,25,47,32,44,37,43,40,43,43,42,46,43,48,46,46,46,43,45,40,46,37,46,27,47,1,72
47,50,42,53,37,54,33,55,29,54,24,53,21,51,22,51,29,49,33,50,36,49,45,50,21,51,24,47,29,45,32,46,36,45,41,47,47,50,45,50,36,48,32,48,29,48,22,51,1,73
48,49,43,53,37,55,32,56,27,55,21,54,16,49,18,49,27,51,32,51,37,51,46,49,16,49,21,48,27,47,32,48,37,47,43,48,48,49,46,49,37,50,32,50,27,50,18,49,1,74
45,50,41,54,36,57,31,57,27,57,22,56,18,51,20,51,27,53,31,53,36,52,43,50,18,51,23,48,27,47,31,48,35,47,40,48,45,50,43,50,36,50,31,51,27,50,20,51,1,75
53,43,49,51,45,54,41,55,36,55,29,52,22,44,23,44,36,51,41,51,45,50,51,44,22,44,30,41,37,41,41,41,45,40,49,41,53,43,51,44,45,43,41,43,37,43,23,44,1,76
50,49,43,55,36,58,31,58,27,57,23,53,20,47,22,48,27,52,31,53,36,53,48,49,20,47,23,46,27,46,31,48,35,47,42,48,50,49,48,49,35,50,31,50,27,49,22,48,1,77
47,50,42,56,36,58,31,58,25,57,19,54,14,48,16,48,26,53,31,54,36,53,45,50,14,48,20,47,26,47,31,48,36,47,42,48,47,50,45,50,36,50,31,50,26,49,16,48,1,78
46,49,42,55,37,58,32,59,27,58,19,56,14,48,16,49,27,55,32,55,37,54,45,49,14,48,21,45,28,44,33,45,38,44,43,46,46,49,45,49,37,47,33,47,28,47,16,49,1,79
48,50,42,55,35,56,30,56,25,55,20,51,17,45,19,45,26,50,31,52,35,52,47,50,17,45,22,44,27,44,31,46,36,45,42,47,48,50,47,50,36,48,31,48,27,46,19,45,1,80
48,43,43,49,37,51,32,52,28,52,21,50,15,44,17,45,28,49,32,49,37,48,46,43,15,44,22,42,28,41,32,42,37,41,43,41,48,43,46,43,37,43,32,44,28,43,17,45,1,81
46,46,41,51,35,53,30,54,26,54,21,52,17,48,19,48,26,50,30,50,35,49,44,47,17,48,21,47,25,46,30,47,34,46,40,46,46,46,44,47,35,48,30,49,25,49,19,48,1,82
47,48,41,53,35,54,31,54,27,53,21,50,17,44,19,45,27,49,31,50,35,51,45,48,17,44,23,44,28,45,32,46,36,46,41,47,47,48,45,48,36,48,32,48,28,47,19,45,1,83
47,47,42,52,37,53,32,53,28,53,23,51,18,46,20,46,28,49,33,50,37,50,46,47,18,46,23,43,29,42,33,43,37,43,43,44,47,47,46,47,37,45,33,45,29,44,20,46,1,84
43,47,38,53,32,55,27,55,23,54,18,51,15,45,17,45,24,50,28,51,32,51,42,47,15,45,19,42,24,41,28,43,33,42,38,44,43,47,42,47,32,45,28,44,24,44,17,45,1,85
52,47,47,53,40,56,35,56,29,56,22,53,16,47,18,47,30,51,35,51,40,51,50,47,16,47,23,45,30,44,35,45,39,44,46,45,52,47,50,47,40,48,35,48,30,48,18,47,1,86
45,46,40,50,35,52,31,52,27,51,21,49,16,43,18,44,28,48,32,49,36,48,43,46,16,43,23,42,29,43,33,44,36,43,41,44,45,46,43,46,36,46,32,46,28,45,18,44,1,87
53,51,48,55,43,56,39,56,34,55,28,52,22,47,24,47,35,51,40,52,44,52,51,51,22,47,30,45,37,45,41,47,46,47,50,48,53,51,51,51,45,49,41,49,36,48,24,47,1,88
51,45,45,54,37,57,32,57,27,56,21,52,17,44,19,44,27,51,32,52,37,52,49,46,17,44,22,42,27,42,32,43,37,42,44,43,51,45,49,46,37,45,32,45,27,45,19,44,1,89
50,47,44,54,38,56,33,56,28,56,22,53,16,46,18,47,29,52,33,52,38,52,48,47,16,46,22,44,29,43,34,44,38,43,44,44,50,47,48,47,38,46,34,46,29,46,18,47,1,90
43,40,37,45,31,47,27,46,23,45,18,41,13,34,15,35,23,41,28,43,32,43,42,40,13,34,19,35,25,36,29,37,33,37,38,38,43,40,42,40,33,39,28,39,24,38,15,35,1,91
48,47,43,51,39,52,35,53,31,52,24,51,17,47,19,48,31,50,35,50,38,49,46,47,17,47,24,46,31,45,35,46,38,45,43,45,48,47,46,47,38,46,35,47,31,47,19,48,1,92
45,48,40,55,35,57,31,57,26,57,20,53,14,45,16,45,27,52,32,53,36,52,43,49,14,45,21,43,29,43,33,44,37,44,41,46,45,48,43,49,36,46,33,46,28,45,16,45,1,93
39,52,35,55,31,56,26,55,22,54,17,52,13,47,15,47,24,49,27,50,32,51,38,52,13,47,19,44,25,44,29,45,33,45,37,48,39,52,38,52,32,49,28,48,24,47,15,47,1,94
51,44,45,52,38,55,33,56,28,55,22,51,16,44,18,44,29,51,33,52,38,51,49,44,16,44,22,43,29,42,33,43,37,42,44,43,51,44,49,44,37,45,33,45,29,45,18,44,1,95
45,49,40,52,36,53,32,53,28,52,23,51,18,47,19,48,28,49,32,49,36,49,43,49,18,47,23,47,29,46,32,48,36,47,41,48,45,49,43,49,36,49,32,49,28,49,19,48,1,96
44,50,38,54,32,56,27,56,23,56,19,54,16,50,18,50,23,51,27,52,32,51,41,50,16,50,19,45,24,43,27,44,31,43,38,45,44,50,41,50,31,46,27,47,24,46,18,50,1,97
52,41,47,48,41,51,36,52,31,52,25,50,19,44,21,45,30,49,35,49,40,48,50,42,19,44,25,44,30,44,34,45,39,43,45,42,52,41,50,42,39,45,35,46,30,46,21,45,1,98
47,47,41,53,35,56,29,57,24,56,17,53,13,45,14,45,24,52,29,53,35,52,45,47,13,45,19,44,25,44,30,46,35,45,41,45,47,47,45,47,35,47,30,47,25,46,14,45,1,99
50,49,45,55,38,58,33,58,27,57,20,54,15,47,17,47,28,52,33,53,38,52,48,49,15,47,22,46,29,45,34,47,39,46,45,47,50,49,48,49,38,49,33,50,28,49,17,47,1,100
50,46,43,53,37,56,32,57,27,56,22,53,17,45,19,46,27,51,32,52,37,51,48,46,17,45,22,43,27,42,32,44,36,43,43,44,50,46,48,46,36,46,32,46,27,46,19,46,1,101
52,48,46,57,38,60,33,60,29,59,22,55,18,45,20,45,29,54,33,55,38,55,50,48,18,45,23,43,29,42,33,43,38,43,45,44,52,48,50,48,38,45,33,45,29,45,20,45,1,102
47,43,43,51,37,54,33,55,29,55,24,51,21,45,22,45,28,51,32,51,36,50,45,44,21,45,24,41,28,40,31,40,36,39,41,40,47,43,45,44,36,42,32,42,28,42,22,45,1,103
48,49,43,54,38,56,34,56,30,55,24,52,18,47,20,47,30,50,34,51,38,50,46,49,18,47,24,47,30,47,34,48,38,47,43,48,48,49,46,49,38,50,34,50,30,50,20,47,1,104
40,47,35,54,28,57,22,57,18,55,11,50,8,39,10,40,19,50,24,52,29,52,38,47,8,39,15,39,22,40,26,42,31,42,36,44,40,47,38,47,30,45,25,44,21,43,10,40,1,105
46,50,40,54,34,55,30,55,26,55,21,53,17,48,19,49,26,50,30,51,34,51,44,50,17,48,21,47,26,46,30,47,34,47,40,48,46,50,44,50,34,50,30,50,26,49,19,49,1,106
48,46,41,49,36,50,32,50,27,50,22,49,18,46,19,47,27,47,32,47,36,47,46,46,18,46,23,45,28,44,32,45,36,44,41,45,48,46,46,46,36,46,32,47,28,46,19,47,1,107
45,48,39,52,34,54,30,54,26,53,22,51,18,46,20,46,26,49,30,50,34,50,43,47,18,46,22,43,27,42,30,43,34,43,39,44,45,48,43,47,34,46,30,46,26,45,20,46,1,108
49,49,43,51,37,51,32,52,27,51,22,50,17,48,18,48,27,48,32,48,37,48,47,49,17,48,22,45,27,44,32,45,37,44,43,46,49,49,47,49,37,47,32,48,27,47,18,48,1,109
50,46,45,54,40,58,35,58,29,58,22,55,17,47,18,47,29,54,35,54,40,53,48,46,17,47,23,45,30,45,35,46,39,44,45,44,50,46,48,46,40,47,35,48,30,47,18,47,1,110
47,49,41,51,35,51,31,52,27,51,23,51,19,49,21,49,28,48,31,49,35,48,45,49,19,49,23,48,28,48,32,49,36,48,41,48,47,49,45,49,36,50,32,50,28,50,21,49,1,111
46,52,41,57,35,59,32,59,28,59,23,57,19,52,21,52,28,55,31,55,35,55,44,53,19,52,23,50,28,49,31,50,35,49,40,50,46,52,44,53,35,52,31,52,28,52,21,52,1,112
47,47,43,53,38,55,33,56,29,55,23,53,18,47,20,47,29,52,34,52,38,51,46,48,18,47,23,45,30,44,34,45,38,44,43,45,47,47,46,48,38,47,34,47,30,46,20,47,1,113
34,48,27,54,21,56,17,56,14,55,12,52,10,46,11,47,14,51,17,52,20,52,32,49,10,46,11,46,14,46,16,47,19,46,26,47,34,48,32,49,20,49,16,49,14,48,11,47,1,114
46,53,41,58,36,59,32,59,28,59,22,55,16,49,19,50,29,54,33,55,36,55,44,53,16,49,23,46,30,45,33,46,37,46,42,48,46,53,44,53,37,49,33,49,29,49,19,50,1,115
49,50,44,56,39,57,35,57,30,57,24,55,20,49,21,49,30,52,35,53,39,52,47,49,20,49,24,45,30,43,35,45,38,43,44,45,49,50,47,49,39,47,35,47,30,47,21,49,1,116
47,45,42,52,35,54,31,54,26,54,21,51,17,46,19,46,26,50,30,51,35,51,46,45,17,46,21,44,25,44,29,45,34,44,41,44,47,45,46,45,34,45,30,46,26,45,19,46,1,117
48,51,43,57,37,59,32,59,27,58,20,55,16,48,18,49,28,52,33,53,37,53,46,51,16,48,22,44,29,43,33,44,38,44,43,46,48,51,46,51,38,48,33,48,28,47,18,49,1,118
42,50,38,57,32,59,28,59,23,57,18,53,15,46,16,46,24,54,29,55,33,55,41,50,15,46,20,43,26,43,30,44,34,44,39,46,42,50,41,50,34,46,29,46,25,44,16,46,1,119
51,44,47,52,42,55,38,56,33,56,25,53,18,45,20,46,33,52,37,52,42,51,49,45,18,45,26,44,33,43,38,44,42,43,47,43,51,44,49,45,42,45,38,46,33,45,20,46,1,120
47,48,42,51,36,52,31,52,27,52,21,52,17,50,19,49,26,47,31,47,35,47,45,47,17,50,21,45,25,43,29,43,34,42,40,44,47,48,45,47,34,46,30,46,26,46,19,49,1,121
45,46,40,53,34,57,29,57,24,57,18,53,12,46,14,47,25,52,29,52,34,52,43,47,12,46,19,47,25,47,30,48,35,47,40,47,45,46,43,47,34,49,30,50,25,49,14,47,1,122
47,46,42,51,36,53,31,54,27,53,21,50,17,44,18,45,27,49,32,50,36,50,45,46,17,44,22,42,28,42,32,44,36,43,42,44,47,46,45,46,36,45,32,45,28,45,18,45,1,123
48,48,43,55,37,57,32,57,28,57,21,54,16,46,18,47,28,52,33,53,37,52,46,48,16,46,22,45,29,44,34,45,38,45,43,46,48,48,46,48,37,47,33,47,29,47,18,47,1,124
50,46,44,53,37,56,32,56,27,55,21,51,16,42,18,43,27,50,32,51,37,51,48,47,16,42,22,41,28,41,32,43,37,42,44,43,50,46,48,47,37,45,32,45,28,44,18,43,1,125
44,44,40,51,36,54,32,55,28,54,22,50,18,42,19,43,28,50,32,51,36,51,43,45,18,42,23,40,29,40,33,41,37,41,41,42,44,44,43,45,36,43,33,43,29,42,19,43,1,126
48,46,45,50,41,53,37,53,33,53,27,52,21,48,22,48,33,50,36,50,41,49,47,46,21,48,26,44,33,42,36,43,40,42,45,43,48,46,47,46,40,45,36,45,33,45,22,48,1,127
49,48,45,54,40,56,35,57,31,57,25,54,19,50,22,50,31,52,35,52,39,51,47,49,19,50,25,46,30,45,35,46,39,45,44,46,49,48,47,49,39,48,35,48,30,48,22,50,1,128
45,43,40,46,35,47,32,48,28,47,24,45,20,41,22,42,29,45,32,45,35,45,43,44,20,41,25,43,29,44,32,45,35,45,40,44,45,43,43,44,35,46,32,47,29,46,22,42,1,129
47,54,41,58,35,58,31,58,26,57,21,55,17,50,19,51,27,54,31,54,35,55,45,54,17,50,22,49,27,48,31,49,35,49,41,51,47,54,45,54,35,51,31,51,27,51,19,51,1,130
48,47,44,54,39,57,34,57,30,57,23,54,16,47,18,47,30,53,34,53,39,53,46,48,16,47,23,44,30,43,35,44,39,43,45,45,48,47,46,48,39,46,35,46,30,46,18,47,1,131
45,47,39,53,34,56,29,56,25,55,20,52,15,46,18,47,25,51,30,51,34,51,42,48,15,46,21,45,26,44,30,46,34,45,39,46,45,47,42,48,34,48,30,48,26,48,18,47,1,132
44,52,39,56,34,57,30,57,26,56,20,54,16,49,18,49,26,51,31,52,35,52,42,52,16,49,21,46,28,45,32,46,36,46,40,48,44,52,42,52,35,49,31,49,27,48,18,49,1,133
54,46,49,52,42,55,37,56,33,56,27,54,22,48,24,49,32,50,37,50,41,49,52,47,22,48,26,46,32,44,36,45,40,43,47,44,54,46,52,47,41,47,36,48,32,47,24,49,1,134
49,45,43,51,36,54,31,55,26,54,22,52,18,47,20,47,26,50,30,50,35,49,47,45,18,47,21,43,25,41,29,42,34,41,41,41,49,45,47,45,34,44,29,45,25,45,20,47,1,135
45,50,41,53,36,55,32,55,28,54,23,53,19,49,21,49,28,50,32,50,36,50,44,50,19,49,23,47,28,46,32,47,36,46,40,47,45,50,44,50,36,49,32,49,28,49,21,49,1,136
50,45,44,51,38,53,34,54,29,53,23,50,17,44,19,45,29,49,34,49,38,49,48,46,17,44,23,43,30,42,34,43,38,42,44,43,50,45,48,46,38,45,34,46,30,45,19,45,1,137
